1	115	1
2	115	1
3	116	1
3	117	1
4	116	1
4	117	1
5	118	1
5	119	1
6	118	1
6	119	1
7	118	1
7	119	1
8	120	1
8	121	1
9	121	1
10	122	1
10	123	1
10	124	1
10	125	1
11	122	1
11	123	1
11	124	1
11	125	1
1	122	1
1	123	1
1	124	1
1	125	1
12	126	1
12	127	1
13	126	1
13	127	1
14	126	1
14	127	1
15	128	2
15	129	1
8	130	4
8	131	5
16	130	1
16	131	1
17	132	1
17	133	1
15	134	1
15	135	1
15	136	1
18	134	1
18	135	1
18	136	2
8	137	1
19	138	1
10	138	1
20	139	1
20	140	1
21	141	1
21	142	1
22	141	1
22	142	1
23	143	1
24	143	1
25	143	1
26	143	1
8	136	6
8	144	10
8	145	1
13	146	1
13	131	1
15	147	1
15	148	1
8	149	1
8	150	1
8	151	1
27	151	1
8	152	3
8	153	1
28	154	1
28	155	1
29	136	1
29	156	1
29	157	1
29	158	1
30	136	1
30	156	1
30	157	1
30	158	1
8	159	2
31	160	1
15	161	1
8	162	1
32	162	1
33	162	1
34	162	1
8	163	5
8	164	3
8	165	1
8	166	1
11	166	1
35	166	1
8	167	1
36	167	1
37	168	1
37	169	1
38	170	1
39	135	1
39	171	1
39	172	1
10	144	3
40	144	1
41	159	1
41	173	1
8	174	1
8	175	1
5	174	1
5	175	1
5	136	1
5	176	1
42	177	1
42	136	1
31	177	1
31	136	1
3	178	1
3	179	1
3	180	1
10	178	1
10	179	1
10	180	1
5	181	1
8	182	1
8	183	1
8	184	1
43	182	1
43	183	1
43	184	1
43	130	1
44	182	1
44	183	1
44	184	1
44	130	1
45	182	1
45	183	1
45	184	1
45	130	1
3	129	1
3	136	1
8	185	1
46	185	1
8	186	1
8	187	1
8	188	1
8	189	1
8	190	1
8	191	1
47	191	1
48	191	1
8	192	1
8	193	1
8	194	1
17	136	1
49	155	1
49	161	1
5	129	1
50	195	1
51	195	1
3	196	1
8	197	1
9	197	1
42	198	1
52	155	1
53	199	1
53	200	1
8	201	1
54	136	1
54	201	1
18	202	1
18	203	2
55	155	1
56	155	1
57	144	1
58	144	1
59	204	1
15	205	1
15	206	1
3	144	2
5	162	1
10	207	1
10	142	1
60	207	1
60	142	1
61	207	1
61	142	1
62	130	1
62	208	1
8	209	1
63	210	1
63	211	1
63	212	1
63	213	1
8	214	1
8	215	1
8	216	1
10	130	2
64	130	1
65	217	1
36	218	1
36	219	1
66	218	1
66	219	1
10	220	1
10	221	1
10	222	1
10	223	1
40	220	1
40	221	1
40	222	1
40	223	1
1	220	1
1	221	1
1	222	1
1	223	1
67	131	1
10	224	1
8	225	1
8	226	1
8	227	1
8	228	1
68	229	1
68	230	1
69	229	1
69	230	1
8	231	1
8	232	1
8	233	1
70	144	1
17	234	1
17	235	1
71	236	1
72	236	1
73	236	1
74	236	1
75	236	1
8	237	1
8	238	1
8	239	1
8	208	1
8	240	1
8	241	1
8	242	1
5	243	1
5	143	1
63	243	1
63	143	1
10	129	1
8	244	1
10	245	1
10	131	1
63	163	1
5	246	1
5	155	1
5	247	1
6	248	1
76	182	1
76	249	1
76	250	1
15	251	1
15	252	1
77	164	1
77	253	1
78	164	1
78	253	1
17	254	1
15	254	1
8	255	1
79	152	1
80	152	1
8	256	1
5	257	1
81	116	1
81	258	1
81	259	1
82	260	1
15	260	1
5	261	1
17	262	1
17	263	1
83	264	1
8	265	1
8	266	1
8	267	1
66	268	1
66	269	1
66	136	1
81	270	1
81	271	1
15	270	1
15	271	1
5	272	1
5	273	1
45	274	1
84	274	1
5	275	1
5	276	1
3	275	1
3	276	1
85	277	1
86	277	1
87	277	1
88	277	1
89	277	1
65	130	1
65	155	1
90	278	1
90	163	1
5	163	1
5	131	1
36	163	1
36	131	1
17	164	1
8	279	1
8	252	1
8	280	1
8	281	1
29	282	1
91	282	1
92	135	1
93	135	1
94	136	1
94	130	1
94	283	1
95	136	1
18	284	1
18	285	1
96	284	1
96	285	1
97	144	1
97	136	1
98	144	1
98	136	1
15	286	1
15	287	1
15	288	1
8	289	1
8	290	1
36	291	1
8	291	1
99	131	1
99	144	1
99	292	1
100	293	1
101	294	1
65	136	1
65	149	1
5	295	1
102	130	1
102	296	1
103	130	1
103	296	1
104	130	1
104	296	1
8	297	1
17	298	1
105	186	1
8	299	1
16	299	1
102	300	1
17	300	1
106	144	1
106	301	1
106	131	1
29	302	1
29	296	1
107	302	1
107	296	1
108	303	1
8	304	1
77	305	1
109	161	1
110	161	1
111	306	1
112	306	1
113	306	1
114	136	1
114	307	1
